fdc_id,description,Retinol (UG),Lycopene (UG),cis_Lycopene (UG),trans_Lycopene (UG),Carotene_beta (UG),cis_beta_Carotene (UG),trans_beta_Carotene (UG),Vitamin_E_alpha_tocopherol (MG),Tocopherols_and_tocotrienols (MG),Cryptoxanthin_beta (UG),Choline_total (MG),Carotene_alpha (UG),Vitamin_K_phylloquinone (UG),Zeaxanthin (UG),Lutein (UG),Lutein_plus_zeaxanthin (UG),cis_Lutein/Zeaxanthin (UG),Vitamin_D_D2_plus_D3 (UG),Vitamin_A_RAE (UG)
2705384,"Milk, NFS",57.0,0.0,0.0,0.0,4.0,4.0,4.0,0.03,0.03,0.0,17.9,0.0,0.2,0.0,0.0,0.0,0.0,1.1,58.0
2705385,"Milk, whole",31.0,0.0,0.0,0.0,7.0,7.0,7.0,0.05,0.05,0.0,17.8,0.0,0.3,0.0,0.0,0.0,0.0,1.1,32.0
2705386,"Milk, reduced fat (2%)",83.0,0.0,0.0,0.0,3.0,3.0,3.0,0.03,0.03,0.0,18.2,0.0,0.2,0.0,0.0,0.0,0.0,1.1,83.0
2705387,"Milk, low fat (1%)",58.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.02,0.0,17.4,0.0,0.1,0.0,0.0,0.0,0.0,1.1,58.0
2705388,"Milk, fat free (skim)",64.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,64.0
2705389,"Milk, lactose free, low fat (1%)",58.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.02,0.0,17.4,0.0,0.1,0.0,0.0,0.0,0.0,1.1,58.0
2705390,"Milk, lactose free, fat free (skim)",64.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,64.0
2705391,"Milk, lactose free, reduced fat (2%)",83.0,0.0,0.0,0.0,3.0,3.0,3.0,0.03,0.03,0.0,18.2,0.0,0.2,0.0,0.0,0.0,0.0,1.1,83.0
2705392,"Milk, lactose free, whole",31.0,0.0,0.0,0.0,7.0,7.0,7.0,0.05,0.05,0.0,17.8,0.0,0.3,0.0,0.0,0.0,0.0,1.1,32.0
2705393,Buttermilk,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,17.7,0.0,0.1,0.0,0.0,0.0,0.0,0.5,36.0
2705394,Kefir,174.0,0.0,0.0,0.0,2.0,2.0,2.0,0.04,0.04,0.0,15.2,0.0,0.6,0.0,0.0,0.0,0.0,1.0,174.0
2705395,Goat milk,56.0,0.0,0.0,0.0,7.0,7.0,7.0,0.07,0.07,0.0,16.0,0.0,0.3,0.0,0.0,0.0,0.0,1.3,57.0
2705396,"Milk, dry, reconstituted, nonfat",58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0
2705397,"Milk, dry, reconstituted, whole",39.0,0.0,0.0,0.0,8.0,8.0,8.0,0.09,0.09,0.0,18.2,0.0,0.3,0.0,0.0,0.0,0.0,1.6,39.0
2705398,"Milk, evaporated, NS as to fat content",64.0,0.0,0.0,0.0,12.0,12.0,12.0,0.14,0.14,0.0,31.8,0.0,0.5,0.0,0.0,0.0,0.0,2.0,65.0
2705399,"Milk, evaporated, whole",64.0,0.0,0.0,0.0,12.0,12.0,12.0,0.14,0.14,0.0,31.8,0.0,0.5,0.0,0.0,0.0,0.0,2.0,65.0
2705400,"Milk, evaporated, reduced fat (2%)",130.0,0.0,0.0,0.0,3.0,3.0,3.0,0.05,0.05,0.0,25.1,0.0,0.2,0.0,0.0,0.0,0.0,2.0,131.0
2705401,"Milk, evaporated, fat free (skim)",118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,118.0
2705402,"Milk, condensed, sweetened",73.0,0.0,0.0,0.0,14.0,14.0,14.0,0.16,0.16,0.0,89.1,0.0,0.6,0.0,0.0,0.0,0.0,0.2,74.0
2705403,"Non-dairy milk, NFS",35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.07,0.0,6.8,0.0,0.9,3.0,3.0,3.0,3.0,1.0,35.0
2705404,"Soy milk, sweetened",56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,22.7,0.0,2.9,8.0,8.0,8.0,8.0,0.7,56.0
