FOOD_CODE,DESC
12012,"Whole milk, average"
18005,"Beef, average, fat, cooked"
18049,"Beef, rump steak, grilled, lean"
19029,"Beefburgers, chilled/frozen, fried"
18205,"Pork, fat, cooked"
18251,"Pork, loin chops, grilled, lean"
18331,"Chicken, meat, average, roasted"
18361,"Turkey, meat, average, roasted"
19077,"Beef sausages, chilled, grilled"
19080,"Pork sausages, chilled, grilled"
18414,"Liver, lamb, fried"
18418,"Liver, pig, stewed"
19106,Liver sausage
11099,"White bread, average"
11167,Cream crackers
13013,"Old potatoes, boiled in salted water"
13022,"Chips, retail, fried in vegetable oil"
17046,"Vegetable oil, blended, average"
x3025,"Chips, straight cut, fat removed"
15296,"Salad, potato, with mayonnaise"
15297,"Salad, potato, with mayonnaise, retail"
15298,"Salad, potato, with reduced calorie dressing, retail"
11349,"Pizza, homemade"
11350,"Pizza, frozen"
12116,"Cream, fresh, double"
12160,"Fromage frais, very low fat"
12188,"Low fat yogurt, plain"
12190,"Low fat yogurt, fruit"
12131,"Cheese, Brie"
12134,"Cheese, Cheddar, average"
12154,"Cheese, Edam"
12147,"Cottage cheese, plain"
12801,"Eggs, chicken, whole, raw"
17316,Mayonnaise
17326,Salad cream
17013,Butter
17018,"Margarine, hard, animal and vegetable fats"
17026,"Fat spread (40% fat), not polyunsaturated"
11200,"Fruit cake, plain, retail"
17020,"Margarine, soft, not polyunsaturated"
x1211,"Sponge cake, fat removed"
11242,"Doughnuts, jam"
x1120,"Croissants, fat removed"
x1294,"Crumble, fruit, fat removed"
x1309,"Fruit pie, pastry top and bottom, fat removed"
11310,"Fruit pie, individual"
12200,Choc ice
12204,"Ice cream, dairy, vanilla"
12206,"Ice cream, non-dairy, vanilla"
17088,"Chocolate, fancy and filled"
17133,Potato crisps
14821,Hazelnuts
14834,"Peanuts, roasted and salted"
17250,"Chicken soup, cream of, canned"
17272,"Oxtail soup, canned"
17073,"Jam, fruit with edible seeds"
12097,Horlicks powder
12108,Ovaltine powder
14271,"Apple juice, unsweetened"
14283,"Orange juice, unsweetened"
14013,"Apples, eating, average, raw, flesh and skin weighed with core"
14191,"Pears, average, raw, weighed with core"
14193,"Pears, average, raw, peeled, weighed with skin and core"
14176,"Oranges, weighed with peel and pips"
14045,Bananas
14109,"Grapes, average"
14153,"Melon, average"
14025,"Apricots, raw"
14183,"Peaches, raw"
14213,"Plums, average, raw"
14124,"Kiwi fruit, weighed with skin"
14244,"Raspberries, raw"
14260,"Strawberries, raw"
13201,"Carrots, old, boiled in salted water"
13204,"Carrots, young, boiled in salted water"
13193,"Cabbage, Savoy, boiled in salted water"
13195,"Cabbage, summer, boiled in salted water"
13197,"Cabbage, white, boiled in salted water"
13304,"Onions, raw"
